Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-08-07 9:00:00,3257.15,3274.96,3249.78,3268.75,213.52,697218.56,3265.43
2017-08-07 10:00:00,3268.1,3274.96,3263.53,3270,165.29,540537.58,3270.18
2017-08-07 11:00:00,3270,3350,3270,3341.41,818.7,2716157.01,3317.64
2017-08-07 12:00:00,3341.41,3416,3341.41,3409.6,813.25,2745395.92,3375.83
2017-08-07 13:00:00,3409.6,3410.88,3366.92,3398.01,756.97,2570521.57,3395.81
2017-08-07 14:00:00,3398.01,3400.51,3353.54,3391.63,1027.09,3471798.99,3380.24
2017-08-07 15:00:00,3391.73,3391.85,3372.57,3383.96,491.95,1664534.7,3383.54
2017-08-07 16:00:00,3383.92,3388,3355,3380,617.82,2085370.73,3375.37
2017-08-07 17:00:00,3379.99,3380,3353,3353.11,663.11,2230918.14,3364.35
2017-08-07 18:00:00,3353.12,3361.99,3328,3331.32,568.98,1904174.69,3346.64
2017-08-07 19:00:00,3331.75,3359.69,3331.46,3353.12,755.18,2530416.2,3350.76
2017-08-07 20:00:00,3353.12,3358.5,3339.53,3340,952.19,3194302.55,3354.68
2017-08-07 21:00:00,3340,3371.07,3340,3371.06,443.85,1488434.56,3353.44
2017-08-07 22:00:00,3371.06,3395.66,3362.65,3395.66,616.74,2082350.42,3376.36
2017-08-07 23:00:00,3395.66,3409.15,3382,3398.23,662.83,2251971.49,3397.51
2017-08-08 0:00:00,3398.23,3398.23,3366,3369.7,482.96,1634379.59,3384.1
2017-08-08 1:00:00,3369.7,3390.54,3369.7,3390.54,378.87,1282307.49,3384.59
2017-08-08 2:00:00,3390.54,3420,3390.53,3419.99,823.79,2805604.24,3405.72
2017-08-08 3:00:00,3419.99,3455.18,3419.99,3450.01,964.53,3317157.27,3439.13
2017-08-08 4:00:00,3450,3478.8,3433,3464.66,774.26,2674113.06,3453.77
2017-08-08 5:00:00,3464.64,3467.37,3413,3436.31,702.62,2416565.22,3439.37
2017-08-08 6:00:00,3436.3,3453.35,3414.11,3441.01,387.86,1332005.08,3434.2
2017-08-08 7:00:00,3440.87,3450,3431.31,3450,333.2,1147657.93,3444.32
2017-08-08 8:00:00,3450,3489,3450,3483.24,418.48,1454300.57,3475.17
2017-08-08 9:00:00,3483.24,3483.24,3420.87,3443.35,567.26,1957209.05,3450.26
2017-08-08 10:00:00,3444.35,3450,3413.46,3413.46,346.99,1190360.89,3430.5
2017-08-08 11:00:00,3413.45,3448.19,3408.33,3443.68,380.72,1307259.57,3433.61
2017-08-08 12:00:00,3443.68,3461.45,3437,3439.38,389.38,1342292.16,3447.26
2017-08-08 13:00:00,3439.57,3444.08,3368,3383.77,967.45,3287024.58,3397.63
2017-08-08 14:00:00,3383.77,3399.89,3369,3379.1,623.15,2108795.95,3384.12
2017-08-08 15:00:00,3379.11,3401,3378.7,3384.66,612.14,2079350.14,3396.86
2017-08-08 16:00:00,3384.66,3385.14,3349.91,3371.66,1079.51,3630721.02,3363.31
2017-08-08 17:00:00,3371.66,3395,3371.66,3393.17,557.18,1885973.91,3384.88
2017-08-08 18:00:00,3393.17,3400.9,3367.95,3399.99,684.6,2316553.23,3383.81
2017-08-08 19:00:00,3399.99,3447,3395,3442.14,1338.89,4589542.11,3427.86
2017-08-08 20:00:00,3442.13,3459.8,3435.81,3447.34,652.46,2250663.27,3449.51
2017-08-08 21:00:00,3447.35,3451,3406.5,3436,1071.77,3672128.38,3426.24
2017-08-08 22:00:00,3436,3455,3431.97,3455,702.21,2414507.92,3438.46
2017-08-08 23:00:00,3455,3461.97,3414,3422.43,773.72,2660237.39,3438.22
2017-08-09 0:00:00,3423.28,3428.29,3380.88,3380.88,775.91,2645840.35,3410
2017-08-09 1:00:00,3380.89,3410,3370,3371.33,799.11,2709649.83,3390.85
2017-08-09 2:00:00,3371.48,3409.29,3350,3400.9,652.15,2198752.87,3371.57
2017-08-09 3:00:00,3400.91,3410,3370.01,3384.7,457.5,1550254.4,3388.51
2017-08-09 4:00:00,3385.48,3395.93,3357,3357.01,491.69,1660930.24,3378.01
2017-08-09 5:00:00,3357,3380,3354,3380,276.3,930623.1,3368.15
2017-08-09 6:00:00,3380,3402.59,3380,3402.58,170.82,579329.25,3391.44
2017-08-09 7:00:00,3402.58,3409.02,3385.02,3405.9,367.48,1248410.72,3397.2
2017-08-09 8:00:00,3406,3410,3377,3383.73,361.59,1225826.74,3390.12
2017-08-09 9:00:00,3383.73,3386.68,3355,3355,347.58,1171466.65,3370.37
2017-08-09 10:00:00,3355,3355.01,3260,3299.87,1070.08,3543498.36,3311.42
2017-08-09 11:00:00,3299.87,3313.99,3257.13,3311.99,709.83,2339845.46,3296.35
2017-08-09 12:00:00,3311.99,3326.93,3288,3311.5,483.85,1601524.89,3309.96
2017-08-09 13:00:00,3311.5,3313.05,3288,3292.38,342.01,1129163.29,3301.53
2017-08-09 14:00:00,3291.49,3291.49,3232.62,3242.11,1173.32,3824065.16,3259.18
2017-08-09 15:00:00,3242.21,3297.8,3242,3285.06,485.11,1591081.88,3279.84
2017-08-09 16:00:00,3285.01,3318.19,3276.07,3309.82,598.5,1974205.4,3298.58
